Batch,User,Source,StartDate,EndDate,Actual Samples,Expected Samples,Final Missing %
Batch1,cmp1_usr609,Battery,2024.11.5 20:55,2025.1.10 14:00,17000,18925,10.17
Batch1,cmp1_usr609,Permission,2024.11.6 2:05,2025.1.10 11:15,239,262,8.78
Batch1,cmp1_usr612,Light,2024.11.4 18:20,2025.1.11 7:52,15905,19459,18.26
Batch1,cmp1_usr612,Connectivity,2024.11.4 18:20,2025.1.11 7:52,15905,19459,18.26
Batch1,cmp1_usr612,Battery,2024.11.4 18:20,2025.1.11 7:52,15905,19459,18.26
Batch1,cmp1_usr612,Permission,2024.11.4 23:55,2025.1.11 4:22,222,269,17.47
Batch1,cmp1_usr613,Light,,,0,16128,100
Batch1,cmp1_usr613,Connectivity,,,0,16128,100
Batch1,cmp1_usr613,Battery,,,0,16128,100
Batch1,cmp1_usr613,Permission,,,0,224,100
Batch1,cmp1_usr614,Light,2024.11.6 2:07,2025.1.9 14:54,18535,18586,0.27
Batch1,cmp1_usr614,Connectivity,2024.11.6 2:12,2025.1.9 14:54,18534,18585,0.27
Batch1,cmp1_usr614,Battery,2024.11.6 2:12,2025.1.9 14:54,18534,18585,0.27
Batch1,cmp1_usr614,Permission,2024.11.6 8:02,2025.1.9 14:39,258,258,0
Batch1,cmp1_usr615,Light,2024.11.6 10:48,2025.1.14 8:53,18840,19849,5.08
Batch1,cmp1_usr615,Connectivity,2024.11.6 10:48,2025.1.14 8:53,18840,19849,5.08
Batch1,cmp1_usr615,Battery,2024.11.6 10:48,2025.1.14 8:53,18840,19849,5.08
Batch1,cmp1_usr615,Permission,2024.11.6 14:33,2025.1.14 4:53,262,275,4.73
Batch1,cmp1_usr616,Light,2024.11.6 8:07,2024.12.31 19:24,7502,16128,53.48
Batch1,cmp1_usr616,Connectivity,2024.11.6 8:07,2024.12.31 19:24,7503,16128,53.48
Batch1,cmp1_usr616,Battery,2024.11.6 8:07,2024.12.31 19:24,7503,16128,53.48
Batch1,cmp1_usr616,Permission,2024.11.6 15:48,2024.12.31 13:59,144,224,35.71
Batch1,cmp1_usr617,Light,2024.11.6 11:11,2024.11.6 11:46,8,16128,99.95
Batch1,cmp1_usr617,Connectivity,2024.11.6 11:11,2024.11.6 11:51,9,16128,99.94
Batch1,cmp1_usr617,Battery,2024.11.6 11:11,2024.11.6 11:46,8,16128,99.95
Batch1,cmp1_usr617,Permission,2024.11.6 11:06,2024.11.6 11:06,1,224,99.55
Batch1,cmp1_usr618,Light,,,0,16128,100
Batch1,cmp1_usr618,Connectivity,,,0,16128,100
Batch1,cmp1_usr618,Battery,,,0,16128,100
Batch1,cmp1_usr618,Permission,,,0,224,100
Batch1,cmp1_usr619,Light,2024.11.5 7:41,2025.1.14 10:36,14804,20196,26.7
Batch1,cmp1_usr619,Connectivity,2024.11.5 7:41,2025.1.14 10:36,14804,20196,26.7
Batch1,cmp1_usr619,Battery,2024.11.5 7:41,2025.1.14 10:36,14804,20196,26.7
Batch1,cmp1_usr619,Permission,2024.11.5 7:36,2025.1.14 5:16,208,280,25.71
Batch1,cmp1_usr620,Light,2024.11.6 12:38,2025.1.9 19:16,18501,18512,0.06
Batch1,cmp1_usr620,Connectivity,2024.11.6 12:38,2025.1.9 19:16,18501,18512,0.06
Batch1,cmp1_usr620,Battery,2024.11.6 12:38,2025.1.9 19:16,18501,18512,0.06
Batch1,cmp1_usr620,Permission,2024.11.6 13:28,2025.1.9 18:21,257,257,0
Batch1,cmp1_usr621,Light,,,0,16128,100
Batch1,cmp1_usr621,Connectivity,,,0,16128,100
Batch1,cmp1_usr621,Battery,,,0,16128,100
Batch1,cmp1_usr621,Permission,,,0,224,100
Batch1,cmp1_usr622,Light,2024.11.28 17:10,2025.1.8 17:38,11798,16128,26.85
Batch1,cmp1_usr622,Connectivity,2024.11.28 17:10,2025.1.8 17:38,11798,16128,26.85
Batch1,cmp1_usr622,Battery,2024.11.28 17:10,2025.1.8 17:38,11798,16128,26.85
Batch1,cmp1_usr622,Permission,2024.11.28 19:05,2025.1.8 15:23,164,224,26.79
Batch1,cmp1_usr623,Light,2024.11.6 13:01,2025.1.7 22:42,17663,17973,1.72
Batch1,cmp1_usr623,Connectivity,2024.11.6 13:01,2025.1.7 22:42,17663,17973,1.72
Batch1,cmp1_usr623,Battery,2024.11.6 13:01,2025.1.7 22:42,17663,17973,1.72
Batch1,cmp1_usr623,Permission,2024.11.7 16:01,2025.1.7 19:27,245,245,0
Batch1,cmp1_usr624,Light,2024.11.6 14:03,2025.1.10 23:21,14309,18832,24.02
Batch1,cmp1_usr624,Connectivity,2024.11.6 14:03,2025.1.10 23:21,14310,18832,24.01
Batch1,cmp1_usr624,Battery,2024.11.6 14:03,2025.1.10 23:21,14310,18832,24.01
Batch1,cmp1_usr624,Permission,2024.11.6 16:13,2025.1.10 23:06,206,262,21.37
Batch1,cmp1_usr625,Light,2024.11.6 12:30,2025.1.15 14:04,19208,20179,4.81
Batch1,cmp1_usr625,Connectivity,2024.11.6 12:30,2025.1.15 14:04,19208,20179,4.81
Batch1,cmp1_usr625,Battery,2024.11.6 12:30,2025.1.15 14:04,19207,20179,4.82
Batch1,cmp1_usr625,Permission,2024.11.6 17:00,2025.1.15 10:09,268,279,3.94
Batch1,cmp1_usr626,Light,2024.11.6 7:22,2025.1.9 17:08,14332,18550,22.74
Batch1,cmp1_usr626,Connectivity,2024.11.6 7:22,2025.1.9 17:08,14332,18550,22.74
Batch1,cmp1_usr626,Battery,2024.11.6 7:22,2025.1.9 17:08,14332,18550,22.74
Batch1,cmp1_usr626,Permission,2024.11.6 7:57,2025.1.9 16:08,211,258,18.22
Batch1,cmp1_usr628,Light,2024.11.6 13:05,2025.2.26 7:11,26712,32186,17.01
Batch1,cmp1_usr628,Connectivity,2024.11.6 13:05,2025.2.26 7:11,26704,32186,17.03
Batch1,cmp1_usr628,Battery,2024.11.6 13:05,2025.2.26 7:11,26704,32186,17.03
Batch1,cmp1_usr628,Permission,2024.11.6 15:40,2025.2.26 7:01,374,447,16.33
Batch1,cmp1_usr629,Light,2024.11.6 12:27,2024.12.31 22:24,14601,16128,9.47
Batch1,cmp1_usr629,Connectivity,2024.11.6 12:27,2024.12.31 22:24,14601,16128,9.47
Batch1,cmp1_usr629,Battery,2024.11.6 12:27,2024.12.31 22:24,14601,16128,9.47
Batch1,cmp1_usr629,Permission,2024.11.6 15:12,2024.12.31 22:28,204,224,8.93
Batch1,cmp1_usr630,Light,2024.11.6 8:00,2024.12.31 16:49,15937,16128,1.18
Batch1,cmp1_usr630,Connectivity,2024.11.6 8:00,2024.12.31 16:49,15938,16128,1.18
Batch1,cmp1_usr630,Battery,2024.11.6 8:00,2024.12.31 16:49,15938,16128,1.18
Batch1,cmp1_usr630,Permission,2024.11.6 11:25,2024.12.31 12:24,221,224,1.34
Batch1,cmp1_usr631,Light,2024.11.5 19:07,2025.2.3 21:39,6869,25951,73.53
Batch1,cmp1_usr631,Connectivity,2024.11.5 19:07,2025.2.3 21:39,6869,25951,73.53
Batch1,cmp1_usr631,Battery,2024.11.5 19:07,2025.2.3 21:39,6869,25951,73.53
Batch1,cmp1_usr631,Permission,2024.11.6 0:42,2025.2.3 20:39,174,360,51.67
Batch1,cmp1_usr632,Light,2024.11.8 11:54,2025.1.14 10:31,18781,19280,2.59
Batch1,cmp1_usr632,Connectivity,2024.11.8 11:54,2025.1.14 10:31,18783,19280,2.58
Batch1,cmp1_usr632,Battery,2024.11.8 11:54,2025.1.14 10:31,18783,19280,2.58
Batch1,cmp1_usr632,Permission,2024.11.8 11:49,2025.1.14 9:16,264,268,1.49
Batch1,cmp1_usr633,Light,2024.11.10 10:21,2025.1.5 14:00,15371,16172,4.95
Batch1,cmp1_usr633,Connectivity,2024.11.10 10:21,2025.1.5 14:00,15402,16172,4.76
Batch1,cmp1_usr633,Battery,2024.11.10 10:21,2025.1.5 14:00,15416,16172,4.67
Batch1,cmp1_usr633,Permission,2024.11.10 10:16,2025.1.5 11:20,216,225,4
Batch1,cmp1_usr635,Light,2024.11.11 13:39,2025.1.6 16:22,16021,16161,0.87
Batch1,cmp1_usr635,Connectivity,2024.11.11 13:39,2025.1.6 16:22,16021,16161,0.87
Batch1,cmp1_usr635,Battery,2024.11.11 13:39,2025.1.6 16:22,16021,16161,0.87
Batch1,cmp1_usr635,Permission,2024.11.11 13:34,2025.1.6 11:22,223,224,0.45
Batch1,cmp1_usr637,Light,2024.11.12 13:21,2025.1.14 7:10,17947,18070,0.68
Batch1,cmp1_usr637,Connectivity,2024.11.12 13:21,2025.1.14 7:10,17947,18070,0.68
Batch1,cmp1_usr637,Battery,2024.11.12 13:21,2025.1.14 7:10,17947,18070,0.68
Batch1,cmp1_usr637,Permission,2024.11.12 13:16,2025.1.14 3:35,251,251,0
Batch1,cmp1_usr638,Light,2024.11.12 14:34,2025.1.9 8:54,16630,16637,0.04
Batch1,cmp1_usr638,Connectivity,2024.11.12 14:34,2025.1.9 8:54,16630,16637,0.04
Batch1,cmp1_usr638,Battery,2024.11.12 14:34,2025.1.9 8:54,16630,16637,0.04
Batch1,cmp1_usr638,Permission,2024.11.12 14:29,2025.1.9 8:29,232,232,0
Batch1,cmp1_usr639,Light,2024.11.12 18:27,2025.1.23 14:26,6223,20688,69.92
Batch1,cmp1_usr639,Connectivity,2024.11.12 18:27,2025.1.23 14:26,6223,20688,69.92
Batch1,cmp1_usr639,Battery,2024.11.12 18:27,2025.1.23 14:26,6223,20688,69.92
Batch1,cmp1_usr639,Permission,2024.11.12 18:22,2025.1.23 8:41,90,287,68.64
Batch1,cmp1_usr640,Light,2024.11.12 20:50,2025.1.7 21:27,11872,16136,26.43
Batch1,cmp1_usr640,Connectivity,2024.11.12 20:50,2025.1.7 21:27,11872,16136,26.43
Batch1,cmp1_usr640,Battery,2024.11.12 20:50,2025.1.7 21:27,11872,16136,26.43
Batch1,cmp1_usr640,Permission,2024.11.12 20:45,2025.1.7 17:52,167,224,25.45
Batch1,cmp1_usr641,Light,2024.11.12 21:34,2025.1.4 7:57,14099,16128,12.58
Batch1,cmp1_usr641,Connectivity,2024.11.12 21:34,2025.1.4 7:57,14099,16128,12.58
Batch1,cmp1_usr641,Battery,2024.11.12 21:34,2025.1.4 7:57,14099,16128,12.58
Batch1,cmp1_usr641,Permission,2024.11.12 21:29,2025.1.4 8:01,198,224,11.61
Batch1,cmp1_usr642,Light,2024.11.12 21:42,2025.1.8 21:53,16380,16419,0.24
Batch1,cmp1_usr642,Connectivity,2024.11.12 21:42,2025.1.8 21:53,16380,16419,0.24
Batch1,cmp1_usr642,Battery,2024.11.12 21:42,2025.1.8 21:53,16380,16419,0.24
Batch1,cmp1_usr642,Permission,2024.11.12 21:37,2025.1.8 21:53,229,229,0
Batch1,cmp1_usr643,Light,2024.11.12 22:49,2025.1.10 10:13,12321,16841,26.84
Batch1,cmp1_usr643,Connectivity,2024.11.12 22:49,2025.1.10 10:13,12321,16841,26.84
Batch1,cmp1_usr643,Battery,2024.11.12 22:49,2025.1.10 10:13,12321,16841,26.84
Batch1,cmp1_usr643,Permission,2024.11.12 22:44,2025.1.10 9:13,173,234,26.07
Batch1,cmp1_usr644,Light,2024.11.13 20:10,2025.1.15 20:27,17788,18148,1.98
Batch1,cmp1_usr644,Connectivity,2024.11.13 20:10,2025.1.15 20:27,17788,18148,1.98
Batch1,cmp1_usr644,Battery,2024.11.13 20:10,2025.1.15 20:27,17788,18148,1.98
Batch1,cmp1_usr644,Permission,2024.11.13 20:05,2025.1.15 14:37,248,252,1.59
Batch1,cmp1_usr645,Light,2024.11.13 11:45,2024.11.13 18:53,86,16128,99.47
Batch1,cmp1_usr645,Connectivity,2024.11.13 11:45,2024.11.13 18:53,86,16128,99.47
Batch1,cmp1_usr645,Battery,2024.11.13 11:45,2024.11.13 18:53,86,16128,99.47
Batch1,cmp1_usr645,Permission,2024.11.13 11:40,2024.11.13 14:53,1,224,99.55
Batch1,cmp1_usr646,Light,2024.11.13 19:31,2025.1.20 11:13,8342,19485,57.19
Batch1,cmp1_usr646,Connectivity,2024.11.13 19:31,2025.1.20 11:13,8342,19485,57.19
Batch1,cmp1_usr646,Battery,2024.11.13 19:31,2025.1.20 11:13,8342,19485,57.19
Batch1,cmp1_usr646,Permission,2024.11.13 19:26,2025.1.20 5:58,134,270,50.37
Batch1,cmp1_usr648,Light,2024.11.16 11:25,2025.2.24 7:48,28446,28757,1.08
Batch1,cmp1_usr648,Connectivity,2024.11.16 11:25,2025.2.24 7:48,28446,28757,1.08
Batch1,cmp1_usr648,Battery,2024.11.16 11:25,2025.2.24 7:48,28446,28757,1.08
Batch1,cmp1_usr648,Permission,2024.11.16 11:20,2025.2.24 4:13,399,399,0
Batch1,cmp1_usr649,Light,2024.11.18 15:11,2025.1.15 4:18,11172,16574,32.59
Batch1,cmp1_usr649,Connectivity,2024.11.18 15:11,2025.1.15 4:18,11172,16574,32.59
Batch1,cmp1_usr649,Battery,2024.11.18 15:11,2025.1.15 4:18,11172,16574,32.59
Batch1,cmp1_usr649,Permission,2024.11.18 15:06,2025.1.15 4:20,158,231,31.6
Batch1,cmp1_usr650,Light,2024.11.18 15:14,2025.1.28 13:25,20338,20427,0.44
Batch1,cmp1_usr650,Connectivity,2024.11.18 15:14,2025.1.28 13:25,20338,20427,0.44
Batch1,cmp1_usr650,Battery,2024.11.18 15:14,2025.1.28 13:25,20338,20427,0.44
Batch1,cmp1_usr650,Permission,2024.11.18 15:09,2025.1.28 13:10,284,284,0
Batch1,cmp1_usr651,Light,2024.11.18 16:05,2025.1.21 10:13,14940,18362,18.64
Batch1,cmp1_usr651,Connectivity,2024.11.18 16:05,2025.1.21 10:13,14960,18362,18.53
Batch1,cmp1_usr651,Battery,2024.11.18 16:05,2025.1.21 10:13,14959,18362,18.53
Batch1,cmp1_usr651,Permission,2024.11.18 16:00,2025.1.21 6:03,211,255,17.25
Batch1,cmp1_usr652,Light,2024.11.18 16:16,2025.2.6 19:41,3391,23081,85.31
Batch1,cmp1_usr652,Connectivity,2024.11.18 16:16,2025.2.6 19:41,3391,23081,85.31
Batch1,cmp1_usr652,Battery,2024.11.18 16:16,2025.2.6 19:41,3391,23081,85.31
